sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
380568,380569,380612,-1,-1.0660017677003175,1.0,stop,0.0019696442160515,0.004,RULE:smc_C
381259,381260,381261,-1,-1.0614296025682757,1.0,stop,0.0021162435465151,0.004,RULE:smc_C
384120,384121,384139,-1,1.4595226531409733,1.0,target,0.0019764141231544,0.004,RULE:smc_C
387115,387116,387137,-1,1.4460107538707765,1.0,target,0.0014817765709935,0.004,RULE:smc_C
390584,390585,390620,1,-1.064644082621016,1.0,stop,0.0020110115996578,0.004,RULE:smc_C
393289,393290,393482,-1,-0.4274321585897309,1.0,time,0.0018716420464,0.004,RULE:smc_C
394577,394578,394768,-1,1.4613776098157831,1.0,target,0.002071337367222,0.004,RULE:smc_C
397402,397403,397416,-1,-1.0894539278514703,1.0,stop,0.0014532620659872,0.004,RULE:smc_C
400755,400756,400791,1,-1.062905451734626,1.0,stop,0.0020665935370518,0.004,RULE:smc_C
401480,401481,401502,-1,1.4735979540234685,1.0,target,0.0030300682027151,0.004,RULE:smc_C
401761,401762,401767,-1,-1.0665337208354864,1.0,stop,0.001953896435787,0.004,RULE:smc_C
402241,402242,402247,-1,-1.0685522523149422,1.0,stop,0.0018963636585251,0.004,RULE:smc_C
404318,404319,404325,1,-1.0915971633926878,1.0,stop,0.0014192579244269,0.004,RULE:smc_C
