sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg,entry_ts,exit_ts
118922,124,125,1,-1.1269719841195702,1.0,stop,5.001103230788431,0.002,RULE:ta_C,2015-12-02 17:00:00+00:00,2015-12-02 19:00:00+00:00
118922,124,125,1,-1.0989781608491138,1.0,stop,5.001103230788431,0.002,RULE:ta_C,2015-12-02 17:00:00+00:00,2015-12-02 19:00:00+00:00
119185,126,126,1,-1.1488429771388422,1.0,stop,4.266240921851932,0.002,RULE:ta_C,2015-12-07 14:30:00+00:00,2015-12-07 14:30:00+00:00
119185,126,126,1,-1.1160272026515383,1.0,stop,4.266240921851932,0.002,RULE:ta_C,2015-12-07 14:30:00+00:00,2015-12-07 14:30:00+00:00
120385,127,128,1,-1.07886318946796,1.0,stop,17.371856365974054,0.004,RULE:ta_C,2015-12-07 16:15:00+00:00,2015-12-08 09:30:00+00:00
121208,129,130,-1,-0.0174316267420318,1.0,time,35.56753532962193,0.004,RULE:ta_C,2015-12-18 14:30:00+00:00,2015-12-22 16:30:00+00:00
120428,131,132,1,-1.2892807792745091,1.0,stop,2.195099175246014,0.002,RULE:ta_C,2015-12-28 06:45:00+00:00,2015-12-28 08:15:00+00:00
120428,131,132,1,-1.225502339749421,1.0,stop,2.195099175246014,0.002,RULE:ta_C,2015-12-28 06:45:00+00:00,2015-12-28 08:15:00+00:00
148842,133,134,-1,1.9608016322831807,1.0,target,0.0020409013094102,0.0025,RULE:smc_B,2015-12-28 13:00:00+00:00,2015-12-29 13:30:00+00:00
120621,135,136,1,-1.16339642649538,1.0,stop,3.0294420179011468,0.002,RULE:ta_C,2015-12-30 09:00:00+00:00,2015-12-30 14:30:00+00:00
120621,135,136,1,-1.209609557221346,1.0,stop,3.0294420179011468,0.002,RULE:ta_C,2015-12-30 09:00:00+00:00,2015-12-30 14:30:00+00:00
120855,137,146,-1,-0.4144505513021332,1.0,time,9.67546064880662,0.002,RULE:ta_C,2016-01-04 21:45:00+00:00,2016-01-05 23:15:00+00:00
120855,137,146,-1,-0.3999809559948269,1.0,time,9.67546064880662,0.002,RULE:ta_C,2016-01-04 21:45:00+00:00,2016-01-05 23:15:00+00:00
122057,138,145,-1,1.9683510812861644,1.0,target,19.58992677146216,0.004,RULE:ta_C,2016-01-04 23:30:00+00:00,2016-01-05 10:00:00+00:00
120859,138,144,-1,1.9589750167442797,1.0,target,6.337601611665377,0.002,RULE:ta_C,2016-01-04 23:30:00+00:00,2016-01-05 09:15:00+00:00
