sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
104664,104665,104687,-1,-1.0655930331155785,0.75,stop,3.4302423491142235,0.0025
104983,104984,105176,-1,0.4270803765110224,0.75,time,7.399075616200207,0.0025
105323,105324,105326,1,-1.1303710896968473,0.5,stop,1.7258427502838458,0.0025
105349,105350,105371,-1,2.0,0.5,target,3.8196783892917665,0.0025
106134,106135,106144,-1,2.0,0.75,target,0.7273140330885326,0.0025
106374,106375,106549,-1,-1.0385261792747902,0.75,stop,5.840184628615361,0.0025
107115,107116,107129,-1,-1.0791129090213196,1.0,stop,2.844036488903157,0.0025
107664,107665,107719,-1,-1.0548064040302823,0.5,stop,4.10535965606482,0.0025
107736,107737,107741,1,-1.1133758704506862,0.5,stop,1.984549261721213,0.0025
107856,107857,107858,-1,-1.1212225758051766,0.75,stop,1.8560899115154825,0.0025
108393,108394,108394,1,-1.141697104838356,0.5,stop,1.5878941228656913,0.0025
108640,108641,108647,1,-1.1490781767271676,0.5,stop,1.5092752335688147,0.0025
108652,108653,108668,1,-1.1338533611258002,0.5,stop,1.6809439681417189,0.0025
108717,108718,108721,1,-1.115027039187234,0.5,stop,1.9560618232872002,0.0025
108927,108928,108943,-1,-1.1009089088191388,0.5,stop,2.229733753272285,0.0025
109035,109036,109046,-1,-1.0522177489928144,1.0,stop,4.308879726524992,0.0025
109224,109225,109280,1,-1.050521504315285,0.5,stop,4.453549098533813,0.0025
109407,109408,109451,-1,2.0,0.75,target,3.6617486729148823,0.0025
109933,109934,109942,-1,-1.1199297046371737,0.5,stop,1.8760990088369454,0.0025
110131,110132,110133,1,-1.131881389708087,0.75,stop,1.7060784732245793,0.0025
110313,110314,110323,1,2.0,0.5,target,1.6788143861588196,0.0025
110414,110415,110444,1,2.0,0.5,target,3.9189958860545175,0.0025
110713,110714,110784,1,-1.0544538871438134,0.75,stop,4.131936429178722,0.0025
110880,110881,110968,1,-1.0573396177230554,0.5,stop,3.92398849058668,0.0025
111452,111453,111486,-1,2.0,0.5,target,1.7711710007552028,0.0025
111701,111702,111760,1,2.0,0.75,target,2.3879318798644817,0.0025
112122,112123,112132,-1,-1.0570619117755722,0.75,stop,3.9430855538953438,0.0025
112986,112987,113083,1,-1.0466934232702638,0.75,stop,4.818665761505599,0.0025
113160,113161,113161,-1,-1.087489353762084,0.5,stop,2.571741478531976,0.0025
113206,113207,113209,-1,-1.0566038477316162,0.5,stop,3.974994793052474,0.0025
113218,113219,113292,-1,2.0,1.0,target,5.377863364851237,0.0025
113667,113668,113703,1,-1.056165384708502,0.5,stop,4.006026152365166,0.0025
113807,113808,113831,1,-1.114548921652838,0.75,stop,1.9642262603031213,0.0025
113895,113896,113898,-1,-1.0402525124703703,0.5,stop,5.589713192823183,0.0025
114056,114057,114057,1,-1.0774710944684431,0.5,stop,2.9043090399550238,0.0025
114611,114612,114613,1,-1.1726750441437361,0.5,stop,1.303025582623377,0.0025
114637,114638,114667,1,2.0,0.5,target,3.381127851876954,0.0025
114818,114819,114821,1,-1.0940156382112831,0.5,stop,2.3932188759306428,0.0025
115043,115044,115086,1,-1.1240117381458754,0.5,stop,1.8143443787171236,0.0025
115443,115444,115447,-1,2.0,0.5,target,1.9951986008898075,0.0025
115745,115746,115834,1,-1.0436170356401298,0.75,stop,5.158534886605139,0.0025
116096,116097,116101,-1,-1.0771056732581596,0.75,stop,2.918073216825178,0.0025
116110,116111,116194,-1,-1.0639856814169404,0.75,stop,3.51641171926849,0.0025
116213,116214,116259,-1,2.0,1.25,target,4.055875899524381,0.0025
116792,116793,116799,1,-1.089263262403281,0.5,stop,2.5206338413152025,0.0025
116864,116865,116869,1,-1.062458415726508,0.5,stop,3.6023968488912033,0.0025
117010,117011,117022,1,2.0,0.5,target,3.1540598400486033,0.0025
117212,117213,117225,1,-1.0747963657174469,0.5,stop,3.008167547202447,0.0025
117231,117232,117239,-1,2.0,1.0,target,3.9056247510679896,0.0025
117669,117670,117732,-1,2.0,0.5,target,3.320395552238324,0.0025
117991,117992,117995,1,-1.0832188815418615,0.5,stop,2.7037133380208616,0.0025
118201,118202,118288,1,-1.0299157232515563,0.75,stop,7.521128541935013,0.0025
118296,118297,118409,-1,-1.018457972269953,0.5,stop,12.189854698513045,0.0025
118572,118573,118631,1,-1.0540927436363805,0.5,stop,4.1595227913080635,0.0025
118945,118946,118948,1,-1.0254416634953802,0.5,stop,8.843761338198874,0.0025
119516,119517,119524,-1,-1.069613993229918,0.5,stop,3.2321087982525114,0.0025
120313,120314,120403,-1,-1.043655996146341,0.5,stop,5.153931186123373,0.0025
120702,120703,120762,1,3.0,0.75,target,6.751308035730517,0.0025
120937,120938,120963,1,-1.1255654278276803,0.75,stop,1.791894503865251,0.0025
121214,121215,121217,-1,-1.0422553008157447,0.5,stop,5.324775724139954,0.0025
121585,121586,121586,1,-1.0757476483556132,0.5,stop,2.970389244872649,0.0025
122501,122502,122510,-1,3.0,0.5,target,1.842432872996369,0.0025
123024,123025,123039,1,3.0,0.75,target,2.3171829691798393,0.0025
123043,123044,123046,1,-1.0608437909672994,0.5,stop,3.697994428401671,0.0025
123142,123143,123157,1,-1.038234608690144,0.75,stop,5.88472087744708,0.0025
123227,123228,123233,-1,-1.0602925781614174,0.75,stop,3.7318026009359073,0.0025
123389,123390,123413,1,-1.0613220182857395,0.5,stop,3.6691551630196955,0.0025
123510,123511,123703,1,0.009350449529983691,0.5,time,5.347336493272223,0.0025
123743,123744,123936,-1,0.9699896471532164,0.5,time,6.59800856512561,0.0025
124306,124307,124339,-1,3.0,0.5,target,2.2498231757099347,0.0025
125167,125168,125256,1,3.0,0.5,target,3.152387216495299,0.0025
126097,126098,126290,-1,-0.0059494742115075855,0.5,time,5.042462398058433,0.0025
126740,126741,126828,1,-1.036619772620261,0.5,stop,6.144221656783884,0.0025
126927,126928,126992,1,3.0,0.5,target,2.8444224578568083,0.0025
127478,127479,127499,1,-1.0730197138960569,0.5,stop,3.0813596492612305,0.0025
127937,127938,127984,1,-1.0322860697878986,0.75,stop,6.968949812660185,0.0025
128203,128204,128211,-1,-1.071215069834201,0.5,stop,3.1594436475838847,0.0025
128470,128471,128572,1,-1.057988810529975,0.75,stop,3.880058893148089,0.0025
128751,128752,128772,-1,3.0,1.25,target,3.8666265463386935,0.0025
128955,128956,129022,-1,-1.0382513779649645,0.5,stop,5.882141035703171,0.0025
129103,129104,129109,-1,-1.145603416468133,0.5,stop,1.545293410399836,0.0025
129409,129410,129492,-1,-1.0649659728899035,1.25,stop,3.4633515052751136,0.0025
129595,129596,129784,1,-1.024538428856158,1.25,stop,9.16929120926352,0.0025
130293,130294,130298,1,-1.1759313318558098,0.5,stop,1.2789080695661141,0.0025
130324,130325,130452,-1,-1.0768821745000459,0.5,stop,2.926556142084337,0.0025
130504,130505,130519,-1,-1.049391942777098,0.75,stop,4.555398863642949,0.0025
131326,131327,131341,1,-1.0605481365189955,1.0,stop,3.7160516067958724,0.0025
131932,131933,131957,-1,3.0,0.75,target,2.1287323855472096,0.0025
132187,132188,132193,-1,-1.0917251822147693,0.5,stop,2.452979591505027,0.0025
133337,133338,133342,-1,-1.0508581722149997,0.5,stop,4.424067759429818,0.0025
133349,133350,133435,1,-1.0645170884178483,0.5,stop,3.4874481399824617,0.0025
133896,133897,133897,1,-1.0869474183361016,0.75,stop,2.5877709114968184,0.0025
134728,134729,134789,-1,-1.0586772345399766,0.75,stop,3.8345365415375454,0.0025
135374,135375,135410,-1,-1.0919601109156396,0.5,stop,2.4467130124094183,0.0025
135441,135442,135613,1,3.0,0.5,target,5.310776896322523,0.0025
135828,135829,136021,-1,1.2289883155428194,0.5,time,7.078993258091032,0.0025
136060,136061,136080,-1,-1.1415699400360095,0.75,stop,1.589320444316627,0.0025
136088,136089,136175,1,-1.0758051852691186,0.75,stop,2.968134688954706,0.0025
136385,136386,136578,-1,0.398909716966734,0.5,time,3.334087748258753,0.0025
137845,137846,137926,1,3.0,0.75,target,3.9729453339868996,0.0025
138935,138936,138938,1,-1.0867097666835965,0.5,stop,2.5948634001165374,0.0025
139289,139290,139304,1,-1.1362441189638306,0.5,stop,1.6514474291520855,0.0025
140236,140237,140409,-1,3.0,0.75,target,3.5148343385881162,0.0025
142034,142035,142041,-1,-1.111468627286518,0.5,stop,2.0185051657770146,0.005
142044,142045,142237,1,-0.2021316108648412,0.75,time,5.738835182862658,0.005
