sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
135294,135295,135318,1,1.9160606667042626,0.75,target,7.386286924815067,0.002
135699,135700,135783,1,-1.0773883284235348,0.75,stop,17.702927920890033,0.002
135966,135967,135967,1,-1.1804704657149845,0.5,stop,7.591269821199603,0.002
136401,136402,136426,1,1.912203659106087,0.5,target,7.061797720581126,0.002
136428,136429,136525,1,0.9519905474834925,0.5,time,9.832030396459231,0.002
136903,136904,136957,-1,1.9004387743663975,1.25,target,6.227323900990086,0.002
137001,137002,137053,-1,-1.1098701987083535,1.0,stop,12.469259326968313,0.002
137229,137230,137236,-1,-1.2355003586940554,1.25,stop,5.817400905872091,0.002
137438,137439,137439,1,-1.1044099104152614,0.5,stop,13.121359788081463,0.002
137445,137446,137447,1,-1.0531911533446072,0.5,stop,25.75616270480623,0.002
137714,137715,137717,-1,1.8807874383742018,0.5,target,5.200794207796207,0.002
138601,138602,138618,1,-1.1210489859689532,0.5,stop,11.317732148135292,0.002
139449,139450,139450,-1,-1.1752715857292357,0.75,stop,7.816440949626667,0.002
139524,139525,139540,1,1.9077112847044129,0.5,target,6.718047791804565,0.002
139898,139899,139910,1,1.8936946776699553,0.5,target,5.832257373484026,0.002
140911,140912,140924,-1,-1.1263704822377933,0.5,stop,10.841139289332204,0.002
141018,141019,141020,-1,1.9483686513712362,0.5,target,12.008208510257646,0.002
141025,141026,141042,-1,-1.06797596813621,0.5,stop,20.15418150801179,0.002
143048,143049,143138,1,1.9771747729385742,0.75,target,27.16292803271972,0.002
143456,143457,143475,-1,-1.191088363025205,1.0,stop,7.169458036642936,0.002
144120,144121,144127,-1,-1.1119870553005622,0.75,stop,12.233556783175118,0.002
144666,144667,144668,-1,-1.155811910536587,0.5,stop,8.792652598135646,0.002
144692,144693,144789,-1,0.640069534754387,1.25,time,22.856891643208655,0.002
146573,146574,146581,-1,1.9219306540222452,0.5,target,7.941657410280641,0.002
146769,146770,146784,1,-1.0904219914305393,0.75,stop,15.151181458466453,0.002
148921,148922,148923,-1,-1.1233904008520563,0.75,stop,11.102970656871548,0.002
149692,149693,149713,1,1.8743709008929508,0.5,target,4.935162350178871,0.002
150189,150190,150194,1,-1.2887189791678775,0.75,stop,4.745098517418228,0.002
150559,150560,150563,1,-1.1040771403355643,0.5,stop,13.163313246144753,0.002
151023,151024,151103,1,-1.107505546885714,1.0,stop,12.743528493989288,0.002
151117,151118,151214,-1,-0.325552707959101,1.25,time,21.87049846593345,0.002
151303,151304,151304,1,-1.1182617762430442,0.5,stop,11.584470008166136,0.002
152016,152017,152100,1,1.9462212283096558,0.5,target,11.528712547953546,0.002
153000,153001,153023,1,1.7847555233765393,0.75,target,2.880445573916404,0.002
153127,153128,153128,-1,1.886294932625627,1.0,target,5.452703334308353,0.002
153298,153299,153380,1,1.9227451161050162,0.75,target,8.025382587368767,0.002
153822,153823,153846,1,1.8587934772900978,0.5,target,4.390732015076537,0.002
154875,154876,154967,-1,-1.0842916998036338,1.25,stop,16.253083081626755,0.002
154941,154942,154942,1,-1.117863760485751,0.5,stop,11.62358976460473,0.002
155322,155323,155332,-1,-1.0629690539454761,0.75,stop,21.756718803275362,0.002
155404,155405,155501,-1,1.9732769943832513,1.25,target,23.200983036556863,0.002
155791,155792,155888,-1,0.2655701246979008,1.25,time,55.95508913852245,0.002
155933,155934,155949,-1,1.9457657001569435,0.5,target,11.431879858210777,0.002
156294,156295,156297,1,-1.137153592277795,0.5,stop,9.98880143966744,0.002
156671,156672,156681,-1,-1.1251447893926512,0.5,stop,10.947319554004935,0.002
156689,156690,156691,-1,-1.0744672128668356,0.75,stop,18.397358344132954,0.002
157094,157095,157095,-1,-1.2594720293603436,0.5,stop,5.279952538149701,0.002
157110,157111,157111,-1,-1.2033720578038045,0.5,stop,6.736421978488579,0.002
157762,157763,157854,1,1.9747863304557198,0.5,target,24.589836037596797,0.002
157856,157857,157858,1,-1.1560787378237007,0.75,stop,8.777620956593637,0.002
157947,157948,157952,-1,-1.1048756610084596,0.75,stop,13.06308810668179,0.002
158235,158236,158324,-1,-1.120192406094284,0.5,stop,11.398390668086904,0.002
158319,158320,158336,1,1.950669721193575,1.0,target,12.568345750343724,0.002
158873,158874,158896,-1,-1.0758551461830501,0.5,stop,18.060739039299733,0.002
159059,159060,159156,-1,0.2846204226379084,0.5,time,22.345550403776542,0.002
159236,159237,159259,1,1.944575473732875,1.0,target,11.186383389401271,0.002
159352,159353,159353,1,-1.0742496882062367,0.75,stop,18.45125593247849,0.002
159881,159882,159892,1,1.9543227369664848,0.5,target,13.573492780096785,0.002
160413,160414,160430,1,1.9429224254579345,0.5,target,10.862409711244254,0.002
160435,160436,160436,1,-1.0959375237589137,0.5,stop,14.280126756687423,0.002
160621,160622,160623,-1,-1.2028166827061915,1.0,stop,6.754868395045378,0.002
160712,160713,160713,-1,-1.1105504654332627,0.75,stop,12.392530367292238,0.002
161810,161811,161815,-1,1.9105900740098967,0.75,target,6.934353128405746,0.002
162991,162992,163005,1,1.923998973421945,0.75,target,8.157784544702736,0.002
163117,163118,163181,-1,-1.0907426642677949,1.25,stop,15.097639143114975,0.002
164020,164021,164084,-1,1.9523855470794966,1.25,target,13.021256403704683,0.002
164293,164294,164294,1,-1.43305523448918,1.0,stop,3.163568734173168,0.002
164445,164446,164475,-1,-1.1285513627788017,0.75,stop,10.657218798663052,0.002
165030,165031,165031,-1,1.9539064246532183,0.5,target,13.450898424248408,0.002
