sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
174658,174659,174659,-1,-1.0593095388491927,0.5,stop,23.099151107607213,0.0075
174745,174746,174752,-1,-1.0218554605031442,0.5,stop,62.68456342079389,0.0075
175419,175420,175468,-1,-0.17443606203499798,0.75,time,33.65129854182487,0.0075
175481,175482,175488,1,-1.0566201567770748,1.0,stop,24.19633003479612,0.0075
175937,175938,175939,-1,-1.1449657051346867,0.5,stop,9.450511062096666,0.0075
176696,176697,176700,-1,-1.03727132546459,0.5,stop,36.757479990927095,0.0075
176771,176772,176776,-1,-1.0522855250719432,0.5,stop,26.202280614279516,0.0075
177314,177315,177318,1,-1.2440335566446772,0.75,stop,5.61398202295095,0.0075
177511,177512,177512,-1,-1.1669675574838425,0.5,stop,8.205186807817881,0.0075
177802,177803,177851,-1,0.12942715052581802,1.25,time,35.77301965769857,0.0075
178525,178526,178574,1,-0.2694382792365412,0.5,time,41.19681892065091,0.0075
178580,178581,178609,1,2.9610945320558533,0.5,target,15.93606330323746,0.0075
179757,179758,179771,-1,-1.0656096017248884,0.5,stop,20.88109002314377,0.0075
179906,179907,179955,-1,0.9522327854879331,0.5,time,46.08116908883312,0.0075
180154,180155,180171,-1,-1.0741233889891342,0.5,stop,18.48269512071056,0.0075
180261,180262,180268,-1,-1.0480995947174472,0.5,stop,28.482568471685227,0.0075
180360,180361,180368,-1,-1.031210443146853,0.5,stop,43.89556385193919,0.0075
180636,180637,180637,1,-1.15304724631811,0.5,stop,8.95148415249787,0.0075
182001,182002,182007,1,-1.0565855091291416,0.5,stop,24.211145593359106,0.0075
182113,182114,182118,1,-1.0247813334810958,0.5,stop,55.28354642598606,0.0075
182179,182180,182180,-1,-1.131171556547746,0.75,stop,10.44433744674916,0.0075
183079,183080,183083,-1,-1.2454065204364348,0.75,stop,5.582573753800716,0.0075
183295,183296,183344,1,0.3727810469971261,1.25,time,37.95793835009408,0.0075
183383,183384,183432,-1,-0.3684031749851339,0.5,time,28.772824773910543,0.0075
183766,183767,183815,-1,0.09433777139549551,1.25,time,30.528599069041775,0.0075
184034,184035,184035,1,-1.0544226788798698,0.5,stop,25.173328990733353,0.0075
184281,184282,184309,1,-1.1747546342210493,0.5,stop,7.839563203039688,0.0075
184590,184591,184600,1,-1.0910334736228915,0.75,stop,15.04940925000028,0.0075
184670,184671,184701,1,-1.115164595606462,0.75,stop,11.896017111730544,0.0075
185187,185188,185192,1,-1.1096915275637216,0.5,stop,12.489569891386054,0.0075
185212,185213,185219,-1,-1.0472969572148536,1.25,stop,28.96592255980795,0.0075
185372,185373,185376,-1,-1.2720223998136615,0.5,stop,5.036349951101329,0.0075
187589,187590,187595,1,-1.0683452404791576,0.5,stop,20.045287578112948,0.0075
188075,188076,188080,1,-1.0341188945039295,0.5,stop,40.153704272048344,0.0075
188437,188438,188446,-1,-1.0376293045014258,0.5,stop,36.40779488624594,0.0075
188445,188446,188446,-1,-1.0191189505606084,0.5,stop,71.65665268378689,0.0075
189560,189561,189568,-1,-1.0311735214516975,0.5,stop,43.94755344284022,0.0075
190092,190093,190093,-1,-1.0370930184268614,0.5,stop,36.93417408726964,0.0075
190106,190107,190155,1,2.470731282777435,1.0,time,41.538309210473926,0.0075
191975,191976,191984,-1,2.9869581563760104,0.5,target,47.53929106001215,0.0075
192501,192502,192515,-1,2.982545023351966,0.75,target,35.51995585567511,0.0075
194108,194109,194157,-1,-0.11284499603614714,0.5,time,37.49390888936341,0.0075
194883,194884,194932,1,0.6041304473052811,0.75,time,37.19229861733129,0.0075
195153,195154,195171,-1,-1.0266230197579098,0.5,stop,51.45922635590432,0.0075
195403,195404,195406,-1,-1.0816840724346721,0.5,stop,16.77193557037299,0.0075
195509,195510,195537,-1,-1.0427058041227233,1.25,stop,32.07994857240101,0.0075
195590,195591,195639,-1,0.2742863124776029,0.5,time,39.99470444189592,0.0075
195670,195671,195672,-1,-1.0764893518557421,0.5,stop,17.9109897882754,0.0075
195942,195943,195991,-1,1.0762265242395046,0.75,time,32.32590836263171,0.0075
196012,196013,196017,-1,-1.0914555118712546,0.5,stop,14.979960988339371,0.0075
196474,196475,196523,-1,2.1099938966004625,0.5,time,45.63567702974888,0.0075
196895,196896,196906,1,-1.1326013602220648,0.5,stop,10.331719054055611,0.0075
197273,197274,197280,-1,-1.0694975023528825,0.75,stop,19.712938646969633,0.0075
197289,197290,197338,1,0.28066286635458326,1.25,time,53.017344949370454,0.0075
197627,197628,197638,1,-1.0302574442133965,0.5,stop,45.27811372096767,0.0075
198876,198877,198896,-1,-1.0581859752058,1.0,stop,23.545192723064247,0.0075
199128,199129,199177,1,0.2662731519084619,1.0,time,27.34034561059434,0.0075
199216,199217,199217,-1,-1.15992295434406,0.5,stop,8.566625132828449,0.0075
199750,199751,199755,-1,2.93777144013811,0.5,target,9.963270906092475,0.0075
199759,199760,199776,-1,-1.0347628983405355,0.5,stop,39.409832476554584,0.0075
200290,200291,200321,-1,2.972663712232724,0.5,target,22.680475318313256,0.0075
200409,200410,200421,1,-1.020389852390299,1.0,stop,67.19028533290475,0.0075
200474,200475,200485,-1,-1.0155342487593522,0.5,stop,88.19222745967818,0.0075
200489,200490,200538,1,-0.4960905414070679,1.0,time,96.01271547105716,0.0075
200612,200613,200616,-1,-1.1023990318452457,0.5,stop,13.379032743888274,0.0075
201062,201063,201069,-1,-1.0591569828643488,0.75,stop,23.158719962806572,0.0075
201174,201175,201177,-1,-1.0550031970426132,0.5,stop,24.90764307643076,0.0075
