ts,open,high,low,close
2015-05-03,120.211,120.248,120.029,120.053
2015-05-04,120.049,120.274,119.997,120.168
2015-05-05,120.169,120.504,119.726,119.922
2015-05-06,119.922,119.982,119.206,119.586
2015-05-07,119.587,119.972,119.055,119.942
2015-05-08,119.942,120.233,119.591,119.838
2015-05-10,119.642,119.891,119.642,119.865
2015-05-11,119.865,120.198,119.815,120.164
2015-05-12,120.165,120.275,119.715,119.806
2015-05-13,119.806,119.972,119.035,119.214
2015-05-14,119.213,119.491,118.887,119.385
2015-05-15,119.39,119.927,119.186,119.218
2015-05-17,119.264,119.753,119.258,119.638
2015-05-18,119.637,120.038,119.533,119.981
2015-05-19,119.982,120.975,119.83,120.888
2015-05-20,120.889,121.481,120.732,121.13
2015-05-21,121.132,121.259,120.784,120.812
2015-05-22,120.811,121.572,120.639,121.517
2015-05-24,121.494,121.777,121.485,121.653
2015-05-25,121.663,121.79,121.445,121.745
2015-05-26,121.745,123.319,121.738,123.057
2015-05-27,123.056,124.248,122.776,124.147
2015-05-28,124.145,124.459,123.589,123.714
2015-05-29,123.712,124.184,123.632,124.153
2015-05-31,124.102,124.342,124.064,124.142
2015-06-01,124.143,125.05,123.862,124.782
2015-06-02,124.782,124.827,123.753,123.974
2015-06-03,123.974,124.681,123.788,124.501
2015-06-04,124.501,124.679,123.779,124.417
2015-06-05,124.417,125.854,124.405,125.578
2015-06-07,125.573,125.678,125.291,125.446
2015-06-08,125.449,125.594,124.293,124.474
2015-06-09,124.478,124.623,123.86,124.491
2015-06-10,124.492,124.619,122.458,123.055
2015-06-11,123.054,124.126,122.95,123.472
2015-06-12,123.472,123.816,123.14,123.382
2015-06-14,123.194,123.557,123.123,123.493
2015-06-15,123.494,123.798,123.3,123.528
2015-06-16,123.526,123.643,123.29,123.439
2015-06-17,123.438,124.443,123.069,123.075
2015-06-18,123.072,123.173,122.48,122.941
2015-06-19,122.94,123.215,122.561,122.667
2015-06-21,122.943,122.977,122.56,122.788
2015-06-22,122.795,123.742,122.656,123.723
2015-06-23,123.723,124.186,123.553,123.885
2015-06-24,123.885,124.376,123.715,123.717
2015-06-25,123.718,123.799,123.221,123.272
2015-06-26,123.272,123.99,123.263,123.836
2015-06-28,122.721,123.193,122.103,123.116
2015-06-29,123.116,123.117,122.194,122.213
2015-06-30,122.213,122.61,121.941,122.451
2015-07-01,122.453,123.465,122.44,123.354
2015-07-02,123.355,123.727,122.81,123.077
2015-07-03,123.075,123.185,122.601,122.832
2015-07-05,121.884,122.712,121.845,122.567
2015-07-06,122.569,122.928,122.188,122.686
2015-07-07,122.686,122.881,121.966,122.209
2015-07-08,122.209,122.21,120.412,121.064
2015-07-09,121.063,122.037,121.063,122.016
2015-07-10,122.016,122.877,121.701,122.793
2015-07-12,122.179,122.748,122.179,122.617
2015-07-13,122.615,123.728,122.498,123.485
2015-07-14,123.485,123.557,122.919,123.46
2015-07-15,123.461,123.972,123.381,123.842
2015-07-16,123.843,124.23,123.741,124.083
2015-07-17,124.083,124.164,123.916,124.077
2015-07-19,124.018,124.191,124.011,124.181
2015-07-20,124.181,124.386,124.083,124.372
2015-07-21,124.371,124.476,123.618,123.693
2015-07-22,123.69,124.151,123.571,123.96
2015-07-23,123.96,124.187,123.674,123.9
2015-07-24,123.9,124.096,123.596,123.763
2015-07-26,123.718,123.835,123.479,123.479
2015-07-27,123.48,123.565,123.008,123.459
2015-07-28,123.459,123.792,123.344,123.364
2015-07-29,123.365,124.19,123.33,124.124
2015-07-30,124.123,124.581,123.928,123.995
2015-07-31,123.996,124.374,123.519,123.851
2015-08-02,123.882,124.116,123.861,124.011
2015-08-03,124.01,124.271,123.855,124.083
2015-08-04,124.082,124.477,123.799,124.404
2015-08-05,124.405,125.011,124.02,124.743
2015-08-06,124.743,124.961,124.54,124.79
2015-08-07,124.788,125.071,124.103,124.178
2015-08-09,124.15,124.412,124.149,124.339
2015-08-10,124.339,124.887,124.339,124.726
2015-08-11,124.726,125.244,124.601,125.205
2015-08-12,125.205,125.279,123.792,124.408
2015-08-13,124.409,124.627,124.257,124.477
2015-08-14,124.477,124.497,124.055,124.272
2015-08-16,124.27,124.448,124.217,124.401
2015-08-17,124.399,124.574,124.22,124.427
2015-08-18,124.427,124.513,124.183,124.312
2015-08-19,124.312,124.469,123.69,123.912
2015-08-20,123.918,124.155,122.972,123.083
2015-08-21,123.082,123.111,121.814,121.987
2015-08-23,121.866,122.02,120.732,120.892
2015-08-24,120.892,121.276,116.132,119.866
2015-08-25,119.868,120.397,118.452,119.103
2015-08-26,119.102,120.367,118.915,120.143
2015-08-27,120.145,121.4,119.793,121.059
2015-08-28,121.058,121.739,120.654,121.696
2015-08-30,121.655,121.655,121.077,121.112
2015-08-31,121.109,121.418,120.589,120.725
2015-09-01,120.725,120.92,119.226,119.945
2015-09-02,119.943,120.688,119.696,120.573
2015-09-03,120.574,120.698,119.486,119.551
2015-09-04,119.549,119.64,118.596,119.009
2015-09-06,118.914,119.588,118.801,119.386
2015-09-07,119.386,119.531,119.128,119.248
2015-09-08,119.249,120.453,118.853,120.374
2015-09-09,120.374,121.196,119.978,120.407
2015-09-10,120.405,121.327,120.302,120.805
2015-09-11,120.805,120.855,120.36,120.561
2015-09-13,120.509,120.843,120.44,120.44
2015-09-14,120.442,120.653,119.852,120.31
2015-09-15,120.311,120.49,119.401,120.235
2015-09-16,120.235,120.726,120.107,120.493
2015-09-17,120.495,120.992,119.662,119.86
2015-09-18,119.86,120.045,119.055,119.978
2015-09-20,120.11,120.15,119.74,119.747
2015-09-21,119.749,120.658,119.725,120.375
2015-09-22,120.375,120.542,119.662,119.884
2015-09-23,119.883,120.544,119.626,119.941
2015-09-24,119.946,120.379,119.225,120.189
2015-09-25,120.189,121.233,120.074,120.558
2015-09-27,120.498,120.59,120.251,120.32
2015-09-28,120.32,120.444,119.555,119.642
2015-09-29,119.641,120.159,119.248,119.768
2015-09-30,119.77,120.349,119.55,120.189
2015-10-01,120.19,120.276,119.492,119.996
2015-10-02,119.996,120.404,118.681,119.873
2015-10-04,119.982,120.098,119.869,120.002
2015-10-05,120.002,120.567,119.91,120.496
2015-10-06,120.496,120.531,119.863,120.17
2015-10-07,120.17,120.177,119.747,119.933
2015-10-08,119.932,120.025,119.626,119.948
2015-10-09,119.949,120.346,119.893,120.242
2015-10-11,120.171,120.263,120.089,120.184
2015-10-12,120.185,120.221,119.807,119.823
2015-10-13,119.823,119.922,119.482,119.652
2015-10-14,119.652,119.738,118.63,118.955
2015-10-15,118.957,119.247,118.063,119.182
2015-10-16,119.182,119.658,118.904,119.417
2015-10-18,119.373,119.607,119.141,119.478
2015-10-19,119.477,119.565,119.223,119.498
2015-10-20,119.497,119.962,119.412,119.883
2015-10-21,119.882,120.091,119.81,119.878
2015-10-22,119.879,120.986,119.615,120.698
2015-10-23,120.7,121.474,120.227,121.46
2015-10-25,121.424,121.499,121.06,121.159
2015-10-26,121.159,121.186,120.48,120.528
2015-10-27,120.527,120.741,120.16,120.416
2015-10-28,120.417,121.258,120.207,120.725
2015-10-29,120.727,121.182,120.629,120.882
2015-10-30,120.883,121.489,120.278,120.602
2015-11-01,120.345,120.575,120.255,120.345
2015-11-02,120.345,120.847,120.307,120.661
2015-11-03,120.661,121.381,120.596,121.19
2015-11-04,121.189,121.716,121.001,121.505
2015-11-05,121.507,122.003,121.431,121.773
2015-11-06,121.772,123.266,121.772,123.11
2015-11-08,123.278,123.476,123.174,123.38
2015-11-09,123.381,123.604,122.976,123.217
2015-11-10,123.216,123.437,122.739,122.936
2015-11-11,122.935,123.205,122.741,122.893
2015-11-12,122.893,123.071,122.497,122.595
2015-11-13,122.595,122.988,122.44,122.557
2015-11-15,122.232,122.604,122.224,122.499
2015-11-16,122.5,123.404,122.385,123.388
2015-11-17,123.389,123.49,123.184,123.323
2015-11-18,123.323,123.751,123.089,123.244
2015-11-19,123.245,123.376,122.623,122.858
2015-11-20,122.858,123.035,122.723,122.75
2015-11-22,122.825,123.258,122.825,123.205
2015-11-23,123.207,123.26,122.667,122.78
2015-11-24,122.779,122.782,122.26,122.416
2015-11-25,122.416,122.934,122.257,122.579
2015-11-26,122.577,122.725,122.5,122.596
2015-11-27,122.596,122.878,122.304,122.712
2015-11-29,122.803,122.846,122.686,122.718
2015-11-30,122.719,123.339,122.642,122.945
2015-12-01,122.944,123.196,122.772,123.06
2015-12-02,123.06,123.67,123.011,123.391
2015-12-03,123.392,123.562,122.297,122.558
2015-12-04,122.558,123.376,122.476,123.089
2015-12-06,123.172,123.324,123.152,123.292
2015-12-07,123.293,123.474,123.055,123.125
2015-12-08,123.125,123.189,122.694,122.701
2015-12-09,122.701,122.836,121.074,121.673
2015-12-10,121.671,122.229,121.244,122.051
2015-12-11,122.052,122.102,120.581,120.955
2015-12-13,121.15,121.2,120.638,121.151
2015-12-14,121.151,121.353,120.342,120.942
2015-12-15,120.944,121.943,120.573,121.901
2015-12-16,121.91,122.642,121.386,122.449
2015-12-17,122.447,123.553,121.973,122.292
2015-12-18,122.291,122.295,121.055,121.148
2015-12-20,121.225,121.384,121.039,121.319
2015-12-21,121.32,121.503,120.841,121.25
2015-12-22,121.251,121.28,120.722,121.027
2015-12-23,121.027,121.049,120.57,120.634
2015-12-24,120.632,120.644,120.249,120.274
2015-12-27,120.213,120.542,120.148,120.449
2015-12-28,120.449,120.63,120.204,120.339
2015-12-29,120.337,120.576,120.289,120.455
2015-12-30,120.455,120.653,120.351,120.404
2015-12-31,120.405,120.445,120.003,120.235
2016-01-03,120.172,120.464,119.472,119.536
2016-01-04,119.536,119.7,118.701,119.542
2016-01-05,119.542,119.579,118.353,118.72
2016-01-06,118.723,118.796,117.661,117.971
2016-01-07,117.971,118.594,117.327,118.341
2016-01-08,118.34,118.836,117.206,117.214
2016-01-10,117.202,117.445,116.69,117.388
2016-01-11,117.387,118.023,117.096,117.494
2016-01-12,117.494,118.357,117.223,118.305
2016-01-13,118.304,118.377,117.293,117.407
2016-01-14,117.405,118.281,117.394,117.743
2016-01-15,117.745,117.93,116.508,117.014
2016-01-17,116.676,117.362,116.665,117.132
2016-01-18,117.131,117.703,117.01,117.557
2016-01-19,117.558,118.113,116.885,116.95
2016-01-20,116.949,117.474,115.974,116.997
2016-01-21,116.997,117.946,116.469,117.91
2016-01-22,117.907,118.878,117.864,118.752
2016-01-24,118.647,118.855,118.43,118.73
2016-01-25,118.731,118.847,118.01,118.013
2016-01-26,118.013,118.62,117.656,118.317
2016-01-27,118.316,119.065,118.075,118.683
2016-01-28,118.683,121.434,118.44,120.034
2016-01-29,120.035,121.686,119.98,121.12
2016-01-31,121.3,121.487,121.102,121.248
2016-02-01,121.249,121.408,120.531,120.613
2016-02-02,120.611,120.861,119.418,119.618
2016-02-03,119.616,120.043,117.05,117.931
2016-02-04,117.93,118.169,116.527,116.7
2016-02-05,116.699,117.428,116.29,116.797
2016-02-07,116.794,117.352,116.788,117.32
2016-02-08,117.321,117.524,114.204,114.558
2016-02-09,114.558,115.539,114.258,114.432
2016-02-10,114.434,115.193,112.535,112.633
2016-02-11,112.634,113.175,110.983,112.714
2016-02-12,112.712,113.539,111.667,113.209
2016-02-14,113.381,113.988,113.272,113.89
2016-02-15,113.889,114.873,113.601,114.778
2016-02-16,114.777,114.798,113.592,113.701
2016-02-17,113.7,114.502,113.374,113.985
2016-02-18,113.985,114.107,112.713,112.834
2016-02-19,112.834,113.215,112.306,112.577
2016-02-21,112.553,113.05,112.424,112.92
2016-02-22,112.918,113.387,111.971,112.366
2016-02-23,112.364,112.502,111.634,111.749
2016-02-24,111.749,112.624,111.039,112.55
2016-02-25,112.552,113.22,111.982,112.824
2016-02-26,112.826,113.988,112.56,113.948
2016-02-28,113.945,113.983,113.099,113.114
2016-02-29,113.114,113.255,112.157,112.614
2016-03-01,112.614,114.185,112.516,113.858
2016-03-02,113.857,114.554,113.215,114.079
2016-03-03,114.078,114.269,113.239,113.696
2016-03-04,113.697,114.256,113.122,113.711
2016-03-06,113.915,113.931,113.496,113.741
2016-03-07,113.741,113.774,112.744,113.209
2016-03-08,113.21,113.244,112.412,112.576
2016-03-09,112.577,113.806,112.229,113.742
2016-03-10,113.756,114.445,112.606,113.525
2016-03-11,113.527,113.918,113.339,113.794
2016-03-13,113.93,114.005,113.641,113.904
2016-03-14,113.903,114.004,113.507,113.767
2016-03-15,113.767,114.128,112.632,113.374
2016-03-16,113.375,113.817,112.328,112.709
2016-03-17,112.708,112.728,110.667,111.269
2016-03-18,111.274,111.758,111.055,111.537
2016-03-20,111.531,111.596,111.219,111.323
2016-03-21,111.323,112.206,111.309,112.012
2016-03-22,112.011,112.488,111.377,112.279
2016-03-23,112.283,112.904,112.225,112.766
2016-03-24,112.767,113.32,112.371,113.056
2016-03-25,113.053,113.169,112.885,113.081
2016-03-27,113.181,113.687,113.122,113.664
2016-03-28,113.665,113.685,113.149,113.569
2016-03-29,113.57,113.802,112.39,112.484
2016-03-30,112.483,112.674,112.016,112.401
2016-03-31,112.403,112.601,112.056,112.207
2016-04-01,112.206,112.454,111.584,111.604
2016-04-03,111.598,111.793,111.319,111.537
2016-04-04,111.539,111.74,110.779,110.825
2016-04-05,110.824,111.054,109.948,110.466
2016-04-06,110.466,110.541,109.156,109.261
2016-04-07,109.261,109.336,107.67,108.622
2016-04-08,108.623,109.098,108.012,108.058
2016-04-10,107.952,108.329,107.629,107.943
2016-04-11,107.942,108.439,107.689,108.172
2016-04-12,108.172,108.908,108.107,108.859
2016-04-13,108.858,109.544,108.752,109.364
2016-04-14,109.365,109.73,108.895,109.728
2016-04-15,109.726,109.729,108.601,108.757
2016-04-17,108.184,108.459,107.835,108.028
2016-04-18,108.029,109.217,107.888,109.012
2016-04-19,109.013,109.485,108.788,109.01
2016-04-20,109.013,109.895,108.762,109.695
2016-04-21,109.697,109.843,109.26,109.465
2016-04-22,109.465,111.81,109.331,111.792
2016-04-24,111.855,111.884,111.04,111.133
2016-04-25,111.135,111.347,110.839,110.94
2016-04-26,110.937,111.475,110.67,111.177
2016-04-27,111.178,111.884,111.028,111.681
2016-04-28,111.679,111.702,107.077,107.372
2016-04-29,107.373,107.415,106.268,106.361
2016-05-01,106.234,106.722,106.138,106.54
2016-05-02,106.541,106.819,106.046,106.16
2016-05-03,106.16,107.456,105.549,107.108
2016-05-04,107.109,107.361,106.248,107.114
2016-05-05,107.113,107.498,106.804,107.096
2016-05-06,107.096,107.259,106.434,107.115
2016-05-08,107.061,107.629,107.06,107.302
2016-05-09,107.303,108.828,107.267,108.583
2016-05-10,108.584,109.37,108.53,108.717
2016-05-11,108.716,108.915,108.228,108.593
2016-05-12,108.595,109.395,108.56,108.782
2016-05-13,108.783,109.55,108.512,108.616
2016-05-15,108.614,108.983,108.467,108.972
2016-05-16,108.974,109.104,108.638,108.909
2016-05-17,108.908,109.651,108.722,109.31
2016-05-18,109.309,110.27,109.01,110.007
2016-05-19,110.009,110.382,109.697,110.025
2016-05-20,110.024,110.585,109.977,110.1
2016-05-22,110.121,110.241,109.636,109.801
2016-05-23,109.8,109.95,109.11,109.391
2016-05-24,109.389,110.187,109.169,110.12
2016-05-25,110.12,110.447,109.417,109.631
