ts,open,high,low,close
2015-03-24,1.09173,1.10292,1.08902,1.09356
2015-03-25,1.09359,1.10143,1.0907,1.09777
2015-03-26,1.09778,1.10521,1.08561,1.08761
2015-03-27,1.08759,1.09483,1.08011,1.08813
2015-03-29,1.08856,1.08949,1.08539,1.08729
2015-03-30,1.0873,1.08814,1.081,1.0816
2015-03-31,1.08163,1.08198,1.07128,1.0779
2015-04-01,1.07789,1.07998,1.07185,1.07661
2015-04-02,1.07663,1.09049,1.07661,1.08682
2015-04-03,1.08684,1.10267,1.08669,1.09683
2015-04-05,1.10019,1.10177,1.09736,1.09811
2015-04-06,1.09811,1.10354,1.091,1.09513
2015-04-07,1.09516,1.09526,1.0803,1.0832
2015-04-08,1.08322,1.08876,1.07602,1.07827
2015-04-09,1.07827,1.07886,1.06375,1.06709
2015-04-10,1.06708,1.06834,1.05677,1.06005
2015-04-12,1.05854,1.0619,1.05847,1.05963
2015-04-13,1.05963,1.06169,1.05204,1.05775
2015-04-14,1.05775,1.07073,1.05315,1.06324
2015-04-15,1.06324,1.07467,1.05711,1.06963
2015-04-16,1.06962,1.08175,1.06247,1.07686
2015-04-17,1.07685,1.08486,1.07336,1.08046
2015-04-19,1.08185,1.08204,1.07885,1.07969
2015-04-20,1.07967,1.08057,1.07121,1.07272
2015-04-21,1.07271,1.07813,1.06598,1.07278
2015-04-22,1.07278,1.08008,1.06914,1.0698
2015-04-23,1.06981,1.08451,1.06659,1.07962
2015-04-24,1.07964,1.08999,1.0785,1.0872
2015-04-26,1.08632,1.08781,1.0859,1.08641
2015-04-27,1.0864,1.09265,1.08194,1.08765
2015-04-28,1.08765,1.09909,1.08601,1.09681
2015-04-29,1.09679,1.11878,1.09595,1.11152
2015-04-30,1.11151,1.12661,1.10716,1.12076
2015-05-01,1.12078,1.12899,1.11748,1.11987
2015-05-03,1.11929,1.12008,1.11766,1.11908
2015-05-04,1.11909,1.12245,1.11226,1.11397
2015-05-05,1.11394,1.12229,1.10663,1.12155
2015-05-06,1.12153,1.137,1.12022,1.13365
2015-05-07,1.13367,1.13916,1.12101,1.12116
2015-05-08,1.12115,1.1289,1.11793,1.11979
2015-05-10,1.11971,1.12065,1.11516,1.11571
